time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
52.02199554443359	0.9999	1	0.701603	0.0795903	0.706059	6.474
67.32499694824219	1.9999	1	0.824162	0.0563967	0.826054	3.918
82.45099639892578	2.9999	1	0.850285	-0.000366213	0.850285	-0.024
97.58300018310547	3.9998	1	0.89246	-0.0419924	0.893436	-2.694
102.8699951171875	4.9998	1	0.893192	-0.0642095	0.895451	-4.11
108.0179977416992	5.9998	1	0.889469	-0.091126	0.894108	-5.85
113.1319961547852	6.9997	1	0.884159	-0.118348	0.892033	-7.62
118.2490005493164	7.9997	1	0.87775	-0.143312	0.889408	-9.27
123.3969955444336	8.999599999999999	1	0.869816	-0.166139	0.885502	-10.812
128.5079956054688	9.9993	1	0.8608440000000001	-0.187257	0.880985	-12.27
133.661994934082	10.9997	1	0.840519	-0.222108	0.869328	-14.802
138.7859954833984	11.9991	1	0.836246	-0.227662	0.866703	-15.228
143.8979949951172	12.9991	1	0.825016	-0.244447	0.860416	-16.5
149.0559997558594	13.9999	1	0.8129920000000001	-0.260195	0.85358	-17.742
154.1739959716797	14.9994	1	0.803165	-0.278505	0.85004	-19.122
155.9570007324219	15.9988	1	0.780094	-0.303774	0.837162	-21.276
157.5899963378906	16.9992	1	0.769291	-0.311586	0.830021	-22.044
159.2299957275391	17.9996	1	0.756779	-0.324038	0.8231849999999999	-23.178
160.8699951171875	18.9991	1	0.7428630000000001	-0.336428	0.815495	-24.36
162.5239944458008	19.999	1	0.728397	-0.347597	0.807072	-25.506
164.1520004272461	20.9994	1	0.718082	-0.357241	0.802067	-26.442
165.7639999389648	21.9994	1	0.704777	-0.367006	0.794621	-27.504
167.3809967041016	22.9988	1	0.690617	-0.376101	0.786381	-28.566
168.984001159668	24.0002	1	0.679447	-0.38373	0.780277	-29.454
170.5899963378906	24.9987	1	0.667057	-0.390993	0.773197	-30.372
172.202995300293	25.9981	1	0.650761	-0.398195	0.762882	-31.458
173.8139953613281	26.9985	1	0.637638	-0.404421	0.75507	-32.382
175.4349975585938	27.9989	1	0.625675	-0.410219	0.748173	-33.246
177.0449981689453	28.9974	1	0.612431	-0.415102	0.739811	-34.128
178.6679992675781	29.9988	1	0.600468	-0.419497	0.732487	-34.932
180.2890014648438	30.9982	1	0.586124	-0.423525	0.723087	-35.85
181.931999206543	31.9986	1	0.574589	-0.427004	0.715885	-36.612
183.5809936523438	32.9971	1	0.561771	-0.430361	0.707645	-37.452
185.2179946899414	33.9994	1	0.549137	-0.432985	0.699284	-38.25
186.8759994506836	35.0008	1	0.536991	-0.435122	0.691166	-39.012
188.5559997558594	36.0012	1	0.5263099999999999	-0.436953	0.684025	-39.696
190.1699981689453	36.9978	1	0.514591	-0.43854	0.676029	-40.434
191.818000793457	37.9963	1	0.50275	-0.439882	0.667973	-41.184
193.4259948730469	38.9977	1	0.492067	-0.440798	0.660587	-41.85
195.0270004272461	39.9961	1	0.480776	-0.441286	0.652592	-42.54
196.6329956054688	41.0004	1	0.470278	-0.441591	0.645084	-43.194
198.2559967041016	41.996	1	0.460207	-0.441774	0.637882	-43.824
200.0279998779297	42.9993	1	0.450197	-0.441774	0.630741	-44.454
201.7259979248047	43.9987	1	0.440676	-0.441286	0.6236	-45.036
203.3979949951172	44.9963	1	0.431032	-0.440798	0.616459	-45.636
205.0479965209961	45.9976	1	0.421328	-0.44031	0.60944	-46.26
206.6889953613281	46.999	1	0.411867	-0.439333	0.602177	-46.842
208.3519973754883	47.9984	1	0.403139	-0.43854	0.595646	-47.406
209.9809951782227	48.9979	1	0.394594	-0.437136	0.588871	-47.922
211.5839996337891	49.9973	1	0.386477	-0.435854	0.582462	-48.432
212.8819961547852	50.9968	1	0.378176	-0.434389	0.575932	-48.948
214.0489959716797	51.9962	1	0.369875	-0.433168	0.569523	-49.5
215.2009963989258	52.9976	1	0.362185	-0.431581	0.563358	-49.992
216.3209991455078	53.997	1	0.354494	-0.429811	0.557133	-50.484
217.4349975585938	54.9965	1	0.347353	-0.42798	0.551151	-50.934
218.6110000610352	55.9978	1	0.340334	-0.426149	0.545292	-51.384
219.7799987792969	56.9973	1	0.333315	-0.424257	0.539494	-51.84
220.8999938964844	57.9967	1	0.326662	-0.422243	0.533878	-52.266
222.0179977416992	58.9943	1	0.320192	-0.420229	0.528263	-52.686
223.1940002441406	59.9957	1	0.313601	-0.418337	0.52277	-53.136
224.3470001220703	60.997	1	0.307619	-0.415895	0.517277	-53.502
225.4679946899414	62.0003	1	0.301577	-0.41382	0.511967	-53.916
226.5839996337891	62.9959	1	0.295717	-0.411623	0.50684	-54.3
227.7969970703125	63.9954	1	0.290163	-0.409304	0.501713	-54.66
228.9449996948242	64.9967	1	0.284426	-0.407167	0.496645	-55.062
230.0659942626953	65.99809999999999	1	0.278994	-0.40497	0.491762	-55.434
