time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
52.02500152587891	0.9999	1	0.0264894	0.00408939	0.0267946	8.795999999999999
67.32300567626953	1.9999	1	0.0321047	0.00238039	0.0322268	4.326
82.46100616455078	2.9998	1	0.0332034	0.000183106	0.0332034	0.402
97.59400177001953	3.9997	1	0.0333865	-0.00115968	0.0333865	-1.944
102.8800048828125	4.9999	1	0.0332644	-0.00195314	0.0333254	-3.324
108.031005859375	5.9998	1	0.0331423	-0.00286867	0.0332644	-4.938
113.1440048217773	6.9997	1	0.0330203	-0.00384523	0.0332644	-6.564
118.2590026855469	7.9994	1	0.0328372	-0.00469974	0.0331423	-8.082000000000001
123.4130020141602	8.999599999999999	1	0.032593	-0.00549319	0.0330813	-9.51
128.5160064697266	9.999499999999999	1	0.0323489	-0.00628665	0.0329592	-10.902
133.6660003662109	10.9997	1	0.0316775	-0.00744632	0.032532	-13.2
138.8040008544922	11.9996	1	0.0316164	-0.00769046	0.032532	-13.608
143.9200057983398	12.9995	1	0.0312502	-0.00823981	0.0323489	-14.736
149.0630035400391	13.999	1	0.0308839	-0.008850159999999999	0.0321047	-15.882
154.2750015258789	14.9999	1	0.0305787	-0.00946051	0.0320437	-17.118
156.0650024414063	15.9993	1	0.0297853	-0.0104371	0.0315554	-19.278
157.7190017700195	16.9997	1	0.0294801	-0.0107422	0.0313723	-19.914
159.4130020141602	17.9982	1	0.0290529	-0.0112916	0.0311891	-21.108
161.0640029907227	19.0001	1	0.0288087	-0.0117798	0.031128	-22.122
162.7180023193359	19.9986	1	0.0285035	-0.0121461	0.0309449	-22.98
164.3430023193359	20.9994	1	0.0280153	-0.0125733	0.0307008	-24.066
165.9660034179688	21.9994	1	0.027588	-0.0129395	0.0304567	-25.026
167.5820007324219	22.9979	1	0.0272218	-0.0133057	0.0302736	-25.944
169.2050018310547	23.9992	1	0.0267335	-0.0136719	0.0300294	-26.994
170.818000793457	24.9996	1	0.0263063	-0.0139771	0.0297853	-27.912
172.4410018920898	25.9972	1	0.025879	-0.0142823	0.0295411	-28.818
174.0510025024414	26.9985	1	0.0253297	-0.0145875	0.029236	-29.868
175.6630020141602	27.998	1	0.0250245	-0.0148926	0.0290529	-30.648
177.2760009765625	28.9984	1	0.0244752	-0.0151368	0.0287477	-31.65
178.9179992675781	29.9988	1	0.024048	-0.0153199	0.0285035	-32.352
180.568000793457	30.9973	1	0.0235597	-0.015503	0.0281984	-33.294
182.2250061035156	31.9977	1	0.0231324	-0.0156862	0.0278932	-34.11
183.8660049438477	33	1	0.0227052	-0.0158693	0.0277101	-34.872
185.4980010986328	33.9994	1	0.0224	-0.0160524	0.027527	-35.556
187.1389999389648	34.9979	1	0.0217897	-0.0162355	0.0271608	-36.618
188.7919998168945	35.9993	1	0.0214235	-0.0163575	0.0269166	-37.266
190.4120025634766	37.0007	1	0.0209962	-0.0164796	0.0266725	-38.058
192.0220031738281	37.9963	1	0.0205079	-0.0165406	0.0263673	-38.796
193.6340026855469	38.9996	1	0.0200807	-0.0166017	0.0260621	-39.504
195.2509994506836	40	1	0.0197145	-0.0167848	0.025879	-40.248
196.8619995117188	40.9966	1	0.0192872	-0.0168458	0.0255738	-41.094
198.5160064697266	41.996	1	0.018921	-0.0168458	0.0253297	-41.592
200.1280059814453	42.9993	1	0.0185548	-0.0169069	0.0250856	-42.252
201.7390060424805	43.9978	1	0.0181886	-0.0169679	0.0248414	-42.942
203.3670043945313	44.9991	1	0.0178224	-0.0170289	0.0245973	-43.632
205.0170059204102	45.9976	1	0.0173951	-0.0170289	0.0242921	-44.334
206.6600036621094	46.9971	1	0.0169679	-0.01709	0.024048	-45.054
208.2919998168945	47.9984	1	0.0167238	-0.01709	0.0238649	-45.51
209.9420013427734	48.996	1	0.0162965	-0.01709	0.0236207	-46.26
211.5950012207031	49.9973	1	0.0159913	-0.01709	0.0233155	-46.794
212.9179992675781	50.9987	1	0.0156251	-0.01709	0.0231324	-47.448
214.1780014038086	51.9981	1	0.0152588	-0.0170289	0.0228273	-48.012
215.3530044555664	52.9976	1	0.0150147	-0.0169679	0.0226442	-48.396
216.4750061035156	53.997	1	0.0145875	-0.0169679	0.022339	-49.17
217.588005065918	54.9984	1	0.0143433	-0.0169679	0.0222169	-49.626
218.7470016479492	55.9978	1	0.0140381	-0.0168458	0.0219117	-50.118
219.8980026245117	56.9973	1	0.013733	-0.0168458	0.0217286	-50.664
221.0090026855469	57.9967	1	0.0135499	-0.0167848	0.0214845	-50.964
222.1290054321289	58.9962	1	0.0131837	-0.0167848	0.0213014	-51.66
223.281005859375	59.9976	1	0.0128174	-0.0167238	0.0210572	-52.386
224.4179992675781	60.9951	1	0.0126954	-0.0166017	0.0208131	-52.524
225.5380020141602	61.9984	1	0.0123902	-0.0164796	0.020569	-53.022
226.6580047607422	62.9997	1	0.0121461	-0.0164186	0.0203859	-53.376
227.8100051879883	63.9954	1	0.0119019	-0.0164186	0.0202638	-53.904
228.9320068359375	64.9967	1	0.0115967	-0.0163575	0.0200197	-54.486
230.052001953125	65.9962	1	0.0114136	-0.0162355	0.0197755	-54.786
231.1850051879883	66.9975	1	0.0112305	-0.0161744	0.0196534	-55.206
232.3390045166016	67.99509999999999	1	0.0109864	-0.0161134	0.0195314	-55.578
233.4520034790039	68.99639999999999	1	0.0107422	-0.0160524	0.0192872	-56.118
234.5720062255859	69.99590000000001	1	0.0105591	-0.0159913	0.0191652	-56.418
235.7030029296875	70.9991	1	0.010315	-0.0159303	0.018921	-56.898
236.8830032348633	71.9948	1	0.0101319	-0.0157472	0.0186769	-57.132
238.0060043334961	72.99420000000001	1	0.009948790000000001	-0.0156862	0.0185548	-57.534
239.1380004882813	73.9975	1	0.009765680000000001	-0.0156251	0.0183717	-57.81
240.2779998779297	74.99890000000001	1	0.00958258	-0.015503	0.0181886	-58.23
241.4420013427734	75.99639999999999	1	0.00939947	-0.015503	0.0180665	-58.71
242.5650024414063	76.9978	1	0.00915533	-0.0153199	0.0178224	-58.98
243.6870040893555	77.99720000000001	1	0.008911189999999999	-0.0152588	0.0176393	-59.52
244.838005065918	78.9967	1	0.008850159999999999	-0.0151978	0.0175782	-59.598
245.9880065917969	79.99800000000001	1	0.008667050000000001	-0.0151368	0.0173951	-60.054
247.1210021972656	80.9956	1	0.008544980000000001	-0.0150147	0.017212	-60.27
248.2540054321289	81.9969	1	0.00836188	-0.0150147	0.017151	-60.696
249.3960037231445	82.9983	1	0.00817877	-0.0148926	0.0169069	-60.966
