time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
100.9039993286133	0.9999	1	0.47156	0.0612185	0.475527	7.404
116.1959991455078	1.9999	1	0.465151	0.0291749	0.466066	3.594
131.3160018920898	2.9999	1	0.477724	0.0008544960000000001	0.477724	0.102
146.443000793457	3.9997	1	0.479982	-0.0218507	0.480471	-2.604
151.7529983520508	4.9996	1	0.477541	-0.0338748	0.478701	-4.056
156.8639984130859	5.9998	1	0.47632	-0.048279	0.478762	-5.784
162.0069961547852	6.9995	1	0.473269	-0.063416	0.47748	-7.626
167.1189956665039	7.9997	1	0.470034	-0.0765386	0.476198	-9.246
172.2419967651367	8.999800000000001	1	0.466127	-0.08898970000000001	0.47455	-10.806
177.3759994506836	9.9993	1	0.461611	-0.100464	0.472414	-12.276
182.4939956665039	10.999	1	0.450441	-0.119751	0.466066	-14.886
187.6070022583008	11.9996	1	0.447878	-0.121033	0.46393	-15.114
192.7669982910156	12.9986	1	0.442629	-0.131166	0.461672	-16.506
197.8779983520508	13.9999	1	0.437441	-0.141236	0.459658	-17.892
203.0260009765625	14.9989	1	0.431337	-0.150331	0.456728	-19.212
204.8129959106445	15.9993	1	0.421816	-0.164186	0.452639	-21.264
206.4290008544922	16.9997	1	0.411196	-0.169801	0.444826	-22.434
208.0459976196289	17.9982	1	0.408022	-0.176515	0.444582	-23.388
209.6500015258789	19.0001	1	0.399172	-0.183717	0.439394	-24.708
211.265998840332	20	1	0.393801	-0.189698	0.437136	-25.716
212.8730010986328	20.9994	1	0.387148	-0.19568	0.433779	-26.808
214.4990005493164	21.9979	1	0.380068	-0.201356	0.430117	-27.912
216.1380004882813	22.9988	1	0.373049	-0.206605	0.426394	-28.974
217.765998840332	23.9992	1	0.364992	-0.211549	0.421877	-30.09
219.4029998779297	24.9996	1	0.359133	-0.215882	0.419008	-31.002
221.052001953125	25.9981	1	0.350893	-0.220277	0.414309	-32.112
222.6889953613281	26.9995	1	0.344057	-0.223878	0.410463	-33.042
224.3720016479492	27.998	1	0.336245	-0.227479	0.405947	-34.074
226.0179977416992	28.9984	1	0.329531	-0.230775	0.402346	-34.998
227.6380004882813	29.9978	1	0.322695	-0.233399	0.398256	-35.874
229.2490005493164	30.9982	1	0.315065	-0.236207	0.39374	-36.846
230.8619995117188	31.9986	1	0.308046	-0.238587	0.38965	-37.752
232.4739990234375	32.999	1	0.301332	-0.240479	0.3855	-38.58
234.0879974365234	33.9985	1	0.293886	-0.242372	0.380861	-39.504
235.6920013427734	34.9989	1	0.287416	-0.243836	0.376894	-40.308
237.3050003051758	35.9983	1	0.280886	-0.24524	0.372805	-41.118
238.927001953125	36.9997	1	0.273989	-0.2464	0.368471	-41.964
240.536994934082	37.9982	1	0.267702	-0.247376	0.364504	-42.726
242.140998840332	38.9967	1	0.26111	-0.248109	0.36017	-43.536
243.7779998779297	39.9981	1	0.255068	-0.248658	0.356203	-44.262
245.4079971313477	40.9985	1	0.249024	-0.249085	0.352175	-45.006
247.0540008544922	42.0008	1	0.242799	-0.24933	0.347963	-45.75
248.702995300293	42.9974	1	0.237	-0.249574	0.344118	-46.47
250.3269958496094	43.9987	1	0.231141	-0.249452	0.340029	-47.172
251.9509963989258	45.0001	1	0.225831	-0.249269	0.336306	-47.82
253.5810012817383	45.9976	1	0.220216	-0.249024	0.332399	-48.504
255.1809997558594	46.9971	1	0.214601	-0.248658	0.328432	-49.194
256.7989959716797	47.9984	1	0.209474	-0.24817	0.324709	-49.83
258.4160003662109	48.9979	1	0.204408	-0.24756	0.321047	-50.448
260.0289993286133	49.9973	1	0.199647	-0.246888	0.317446	-51.036
261.3330001831055	50.9968	1	0.194825	-0.246095	0.313845	-51.63
262.4560012817383	51.9981	1	0.189576	-0.245545	0.310183	-52.32
263.5869979858398	52.9976	1	0.185304	-0.244569	0.306826	-52.836
264.7210006713867	53.997	1	0.180848	-0.243531	0.303347	-53.4
265.8359985351563	54.9984	1	0.176454	-0.242555	0.299929	-53.958
266.9589996337891	55.9978	1	0.172181	-0.241517	0.296572	-54.51
268.0999984741211	56.9973	1	0.168153	-0.240418	0.293337	-55.026
269.2229995727539	57.9967	1	0.164124	-0.239198	0.290041	-55.536
270.3349990844727	58.9962	1	0.160279	-0.238038	0.286989	-56.04
271.4599990844727	59.9957	1	0.156312	-0.236817	0.283754	-56.562
272.5999984741211	60.997	1	0.152772	-0.235536	0.280703	-57.018
273.7220001220703	61.9965	1	0.149049	-0.234315	0.277651	-57.528
274.8429946899414	62.9978	1	0.145753	-0.23285	0.27466	-57.942
275.9860000610352	63.9992	1	0.142335	-0.231507	0.27173	-58.41
277.1350021362305	64.9967	1	0.1391	-0.230165	0.268923	-58.842
278.2470016479492	65.99809999999999	1	0.135804	-0.228822	0.266054	-59.304
279.359001159668	66.9975	1	0.132813	-0.227418	0.263308	-59.7
280.4909973144531	67.997	1	0.129762	-0.226014	0.2605	-60.132
281.6529998779297	68.9983	1	0.126649	-0.224732	0.257936	-60.582
282.7729949951172	69.99590000000001	1	0.12378	-0.223268	0.255251	-60.984
283.89599609375	70.99720000000001	1	0.121033	-0.221742	0.252565	-61.368
285.0359954833984	71.9986	1	0.118287	-0.220277	0.24994	-61.752
286.1660003662109	72.9961	1	0.115662	-0.218934	0.247499	-62.148
287.2890014648438	73.99939999999999	1	0.112977	-0.217408	0.244996	-62.532
288.4089965820313	74.99890000000001	1	0.110474	-0.216004	0.242616	-62.91
289.5509948730469	75.9983	1	0.108155	-0.214417	0.240113	-63.228
290.6689987182617	76.9978	1	0.105713	-0.213075	0.237794	-63.606
