time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
51.98300170898438	0.9999	1	0.370119	0.0565188	0.374392	8.682
67.27400207519531	1.9999	1	0.437197	0.0262452	0.43799	3.438
82.39400482177734	2.9999	1	0.430483	-0.00299074	0.430483	-0.396
97.51900482177734	3.9998	1	0.350588	-0.0207521	0.351198	-3.384
102.8050003051758	4.9998	1	0.341433	-0.0305177	0.342775	-5.1
107.9410018920898	5.9998	1	0.338808	-0.0420535	0.341372	-7.068
113.1070022583008	6.9997	1	0.336306	-0.053467	0.340578	-9.029999999999999
118.2320022583008	7.9994	1	0.333132	-0.0639043	0.339235	-10.854
123.3790054321289	8.999599999999999	1	0.329348	-0.0735478	0.337465	-12.576
128.4920043945313	9.999499999999999	1	0.325136	-0.08233690000000001	0.335451	-14.208
133.6060028076172	10.9997	1	0.316286	-0.096314	0.330568	-16.926
138.7570037841797	11.9996	1	0.313784	-0.0990605	0.329042	-17.514
143.8760070800781	12.9995	1	0.308657	-0.106141	0.326418	-18.966
148.9890060424805	13.9995	1	0.324221	-0.121033	0.346071	-20.466
time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
55.87300109863281	0.9999	1	0.325869	0.0416873	0.328554	7.296
71.15900421142578	1.9999	1	0.327822	0.0170289	0.328249	2.982
86.31800079345703	2.9999	1	0.335085	-0.00347902	0.335146	-0.588
101.4660034179688	3.9997	1	0.335878	-0.0204469	0.33655	-3.474
106.7630004882813	4.9998	1	0.334475	-0.0297853	0.335817	-5.088
111.8780059814453	5.9998	1	0.33185	-0.0409548	0.334352	-7.026
116.9930038452148	6.9997	1	0.329531	-0.0520022	0.33362	-8.964
122.1370010375977	7.9999	1	0.326235	-0.0622561	0.332155	-10.794
127.2470016479492	8.999599999999999	1	0.322329	-0.07165580000000001	0.330202	-12.522
132.3610000610352	9.999499999999999	1	0.318117	-0.0802007	0.328066	-14.148
137.5120010375977	10.9994	1	0.30884	-0.0941167	0.322878	-16.944
