time(s)	f (Hz)	Nharm	X (V)	Y (V)	R (V)	teta (degr)
51.95099639892578	0.9999	1	0.567814	0.0659795	0.571659	6.63
67.24600219726563	1.9999	1	0.684147	0.0352175	0.685062	2.952
82.38099670410156	2.9999	1	0.701603	-0.0124512	0.701725	-1.014
97.50900268554688	3.9997	1	0.7033120000000001	-0.0494387	0.705021	-4.02
102.8010025024414	4.9999	1	0.699039	-0.0711675	0.702641	-5.808
107.9309997558594	5.9998	1	0.693241	-0.09564259999999999	0.699772	-7.854
113.0429992675781	6.9997	1	0.686588	-0.120484	0.697025	-9.948
118.1829986572266	7.9994	1	0.6784710000000001	-0.143128	0.693363	-11.91
123.2929992675781	8.9993	1	0.66901	-0.163697	0.688725	-13.746
128.4089965820313	9.999499999999999	1	0.658573	-0.182679	0.6834750000000001	-15.498
133.5499954223633	10.9994	1	0.638126	-0.211427	0.672184	-18.33
138.6640014648438	11.9991	1	0.6315960000000001	-0.21692	0.667789	-18.948
143.7900009155273	12.9995	1	0.619205	-0.231202	0.660892	-20.472
148.943000793457	13.9995	1	0.607853	-0.247071	0.656193	-22.116
154.0609970092773	14.9994	1	0.5948520000000001	-0.259829	0.6491130000000001	-23.592
155.8710021972656	15.9993	1	0.573063	-0.279604	0.637638	-26.004
157.5319976806641	16.9983	1	0.5629920000000001	-0.285341	0.631168	-26.868
159.1780014038086	17.9996	1	0.55048	-0.294558	0.624332	-28.146
160.8209991455078	18.9991	1	0.536076	-0.303347	0.61591	-29.502
162.4710006713867	19.9995	1	0.521061	-0.311525	0.607121	-30.87
164.1039962768555	20.999	1	0.510441	-0.318117	0.601444	-31.926
165.7159957885742	21.9989	1	0.497011	-0.324465	0.593571	-33.138
167.327995300293	22.9988	1	0.483095	-0.329775	0.584904	-34.314
168.9410018920898	24.0002	1	0.470217	-0.335085	0.577335	-35.472
170.5540008544922	24.9987	1	0.457399	-0.338991	0.569279	-36.54
172.1660003662109	25.9981	1	0.445314	-0.342348	0.561649	-37.548
173.7770004272461	26.9995	1	0.433168	-0.345461	0.5540810000000001	-38.568
175.3779983520508	27.9999	1	0.420595	-0.348085	0.545963	-39.606
176.9909973144531	28.9993	1	0.409609	-0.349977	0.5387610000000001	-40.506
178.6039962768555	29.9988	1	0.397341	-0.351625	0.530582	-41.502
180.234001159668	31.0001	1	0.386293	-0.352907	0.523197	-42.408
181.8649978637695	31.9996	1	0.376162	-0.353762	0.516361	-43.236
183.4960021972656	32.999	1	0.365847	-0.354311	0.50922	-44.076
185.1480026245117	34.0004	1	0.355349	-0.354433	0.501835	-44.922
186.7900009155273	34.9979	1	0.345461	-0.354372	0.494875	-45.726
188.4209976196289	35.9983	1	0.335268	-0.353884	0.487429	-46.542
190.052001953125	36.9987	1	0.325869	-0.353456	0.480715	-47.322
191.6760025024414	37.9982	1	0.316408	-0.35248	0.473635	-48.078
193.2770004272461	38.9967	1	0.307802	-0.351381	0.467104	-48.774
194.8809967041016	39.9981	1	0.299623	-0.350222	0.460878	-49.446
196.4919967651367	40.9966	1	0.291079	-0.348879	0.454287	-50.154
198.1129989624023	41.9989	1	0.282717	-0.347231	0.447695	-50.844
199.7259979248047	42.9993	1	0.274904	-0.345583	0.44153	-51.492
201.3379974365234	43.9997	1	0.267702	-0.343813	0.435732	-52.092
202.952995300293	44.9991	1	0.260256	-0.34186	0.429628	-52.716
204.5629959106445	45.9976	1	0.25281	-0.340029	0.423708	-53.364
206.1660003662109	46.9971	1	0.245973	-0.338015	0.417971	-53.946
207.7870025634766	47.9984	1	0.239381	-0.335756	0.412294	-54.51
209.4169998168945	48.9979	1	0.233277	-0.333681	0.407106	-55.038
211.0489959716797	49.9973	1	0.226991	-0.331423	0.401674	-55.59
212.3720016479492	50.9968	1	0.221253	-0.32892	0.396364	-56.07
213.5019989013672	51.9981	1	0.215211	-0.326723	0.391176	-56.622
214.6169967651367	52.9976	1	0.209413	-0.324465	0.38611	-57.156
215.7399978637695	53.9989	1	0.204225	-0.322145	0.38135	-57.618
216.8730010986328	54.9984	1	0.198976	-0.319765	0.376589	-58.098
217.9860000610352	55.9978	1	0.194093	-0.317202	0.371828	-58.53
